source_row_number,course_name,department_name,college_name,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,relation_hint,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
14807,운영체제,전자공학부,IT대학,java,Java,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14808,알고리즘1,전자공학부,IT대학,algorithms,알고리즘,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14808,알고리즘1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14808,알고리즘1,전자공학부,IT대학,data-structures,자료구조,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14810,알고리즘1,전자공학부,IT대학,algorithms,알고리즘,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14810,알고리즘1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14811,데이타통신,전자공학부,IT대학,,,인터넷,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14812,데이타통신,전자공학부,IT대학,,,인터넷,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14815,인공지능,전자공학부,IT대학,artificial-intelligence,인공지능,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
14815,인공지능,전자공학부,IT대학,deep-learning,딥러닝,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14815,인공지능,전자공학부,IT대학,machine-learning,머신러닝,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14815,인공지능,전자공학부,IT대학,python,Python,,,,0.75,learning_objective_clean|main_textbook_clean|prerequisite_material_clean,alias,prerequisite,true,false,false,4
14815,인공지능,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14816,인공지능,전자공학부,IT대학,artificial-intelligence,인공지능,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14816,인공지능,전자공학부,IT대학,deep-learning,딥러닝,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14816,인공지능,전자공학부,IT대학,machine-learning,머신러닝,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14816,인공지능,전자공학부,IT대학,python,Python,,,,0.85,learning_objective_clean|main_textbook_clean|prerequisite_material_clean,alias|topic_name,prerequisite,true,false,true,3
14817,빅데이터응용,전자공학부,IT대학,deep-learning,딥러닝,,,,0.83,learning_objective_clean|main_textbook_clean,topic_name,,true,false,false,2
14817,빅데이터응용,전자공학부,IT대학,machine-learning,머신러닝,,,,0.83,learning_objective_clean|main_textbook_clean,topic_name,,true,false,false,2
14817,빅데이터응용,전자공학부,IT대학,data-analysis,데이터 분석,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14817,빅데이터응용,전자공학부,IT대학,python,Python,,,,0.73,learning_objective_clean|main_textbook_clean,alias,,true,false,false,2
14817,빅데이터응용,전자공학부,IT대학,artificial-intelligence,인공지능,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14817,빅데이터응용,전자공학부,IT대학,programming,프로그래밍,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14817,빅데이터응용,전자공학부,IT대학,operating-systems,운영체제,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14818,컴퓨터구조,전자공학부,IT대학,computer-architecture,컴퓨터구조,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14818,컴퓨터구조,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14819,컴퓨터구조,전자공학부,IT대학,computer-architecture,컴퓨터구조,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14823,소프트웨어공학,전자공학부,IT대학,testing,테스트,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14823,소프트웨어공학,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14823,소프트웨어공학,전자공학부,IT대학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
14823,소프트웨어공학,전자공학부,IT대학,java,Java,,,,0.6,prerequisite_material_clean,alias,prerequisite,true,false,false,1
14825,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14825,C프로그래밍과실습,전자공학부,IT대학,c-language,C언어,,,,0.83,learning_objective_clean|main_textbook_clean,alias|topic_name,,true,false,false,4
14826,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14826,C프로그래밍과실습,전자공학부,IT대학,c-language,C언어,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14827,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
14827,C프로그래밍과실습,전자공학부,IT대학,c-language,C언어,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14827,C프로그래밍과실습,전자공학부,IT대학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.5,main_textbook_clean,alias,,true,false,false,1
14828,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
14828,C프로그래밍과실습,전자공학부,IT대학,c-language,C언어,,,,0.78,learning_objective_clean|main_textbook_clean,alias|topic_name,,true,false,false,4
14831,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14831,C프로그래밍과실습,전자공학부,IT대학,c-language,C언어,,,,0.8,learning_objective_clean,alias|topic_name,,true,false,false,2
14831,C프로그래밍과실습,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14834,C프로그래밍과실습,전자공학부,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14838,네트워크프로그래밍,전자공학부,IT대학,programming,프로그래밍,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14838,네트워크프로그래밍,전자공학부,IT대학,networks,네트워크,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14839,네트워크프로그래밍,전자공학부,IT대학,programming,프로그래밍,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14839,네트워크프로그래밍,전자공학부,IT대학,networks,네트워크,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14843,전자회로설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14844,전자회로설계,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14846,전자회로설계,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14847,마이크로프로세서설계실험,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14847,마이크로프로세서설계실험,전자공학부,IT대학,c-language,C언어,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
14848,마이크로프로세서설계실험,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14848,마이크로프로세서설계실험,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14850,마이크로프로세서설계실험,전자공학부,IT대학,,,함수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
