external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
77b5b8f2d825bc0b,AI 리터러시,국립목포대학교,공학,정보통신공학,artificial-intelligence,인공지능,,,,1.0,description_body_clean|title_clean,alias|topic_name,true,false,false,2
77b5b8f2d825bc0b,AI 리터러시,국립목포대학교,공학,정보통신공학,generative-ai,생성형 AI,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,3
77b5b8f2d825bc0b,AI 리터러시,국립목포대학교,공학,정보통신공학,algorithms,알고리즘,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,true,2
7b8364ecd863c062,운영체제 : 병행성,한국공학대학교,공학,컴퓨터공학,operating-systems,운영체제,,,,1.0,description_body_clean|title_clean,topic_name,true,false,true,2
7b8364ecd863c062,운영체제 : 병행성,한국공학대학교,공학,컴퓨터공학,programming,프로그래밍,,,,0.82,description_body_clean,topic_name,true,false,false,1
7c8983b3993474d7,컴퓨터네트워크,국립한국해양대학교,공학,정보통신공학,networks,네트워크,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias|topic_name,true,false,true,8
7c8983b3993474d7,컴퓨터네트워크,국립한국해양대학교,공학,정보통신공학,,,프로토콜,networks,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,7
7c8983b3993474d7,컴퓨터네트워크,국립한국해양대학교,공학,정보통신공학,,,인터넷,networks,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,4
7c8983b3993474d7,컴퓨터네트워크,국립한국해양대학교,공학,정보통신공학,,,OSI 7계층,networks,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,6
7c8983b3993474d7,컴퓨터네트워크,국립한국해양대학교,공학,정보통신공학,,,TCP/IP,networks,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,4
7ca4a3a710569763,"코딩으로 푸는 수학, 기초 파이썬",국립군산대학교,공학,컴퓨터과학,python,Python,,,,0.97,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias,true,false,true,4
