source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,missing_removal_reason,quality_missing_ratio
6267,2022,강원대학교,공학대학,AI소프트웨어학과,머신러닝을위한선형대수,2,1학기,3,3,0,전공선택,,딥러닝을 위한 선형대수 (저자: 길버트 스트랭; 출판사: 한빛아카데미) [원서: Linear Algebra and Learning from Data (저자: Gilbert Strang)],,1. 딥러닝 머신러닝을 위한 파이썬 넘파이: 선형대수를 파이썬으로 이해하기 / 2. 응용이 보이는 선형대수학: 파이썬과 함께하는 선형대수학 이론과 응용 / 3. MATLAB guide: 5. Matrices 및 9. Linear Algebra,"* 선수지식: 중등교육과정을 통해 학습하는 내용 (미지수, 해, 일차방정식, 연립방정식, 일차/이차 함수 등)* 선수교과목: 1학년 수강 대학별교양 교과목인 '대학수학및연습' 또는 '공학기초수학및연습'",True,True,True,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6268,2022,강원대학교,공학대학,AI소프트웨어학과,머신러닝을위한선형대수,2,1학기,3,3,0,전공선택,,딥러닝을 위한 선형대수 (저자: 길버트 스트랭; 출판사: 한빛아카데미) [원서: Linear Algebra and Learning from Data (저자: Gilbert Strang)],,1. 딥러닝 머신러닝을 위한 파이썬 넘파이: 선형대수를 파이썬으로 이해하기 / 2. 응용이 보이는 선형대수학: 파이썬과 함께하는 선형대수학 이론과 응용 / 3. MATLAB guide: 5. Matrices 및 9. Linear Algebra,"* 선수지식: 중등교육과정을 통해 학습하는 내용 (미지수, 해, 일차방정식, 연립방정식, 일차/이차 함수 등)* 선수교과목: 1학년 수강 대학별교양 교과목인 '대학수학및연습' 또는 '공학기초수학및연습’",True,True,True,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6269,2022,강원대학교,공학대학,AI소프트웨어학과,문제해결프로그래밍,2,2학기,3,2,2,전공선택,,,,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective;missing_main_textbook,0.4166666666666667
6271,2022,강원대학교,공학대학,AI소프트웨어학과,딥러닝을위한수치해석,3,1학기,3,3,0,전공선택,,주교재는 1주차 수업에서 확정 예정임 (개강 전 참고: '참고사항'란의 [T1] 및 [T2])=>[1주차 교재 확정: 파이썬을 이용한 수치해석(2022년; 저자: 박철근; 출판사: 자유아카데미)],,참고사항'란에 작성됨,"선수지식(1): 중등교육과정을 통해 학습하는 내용 (미지수, 해, 일차방정식, 연립방정식 등) [참고: 선형대수]선수지식(2): 일변수함수의 미분 및 최적화 [참고: 1학년 수강 대학별교양 교과목인 '대학수학및연습' 또는 '공학기초수학및연습']",True,True,True,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6272,2022,강원대학교,공학대학,AI소프트웨어학과,딥러닝을위한수치해석,3,1학기,3,3,0,전공선택,,주교재는 1주차 수업에서 확정 예정임 (개강 전 참고: '참고사항'란의 [T1] 및 [T2]) =>[1주차 교재 확정: 파이썬을 이용한 수치해석(2022년; 저자: 박철근; 출판사: 자유아카데미)],,참고사항'란에 작성됨,"선수지식(1): 중등교육과정을 통해 학습하는 내용 (미지수, 해, 일차방정식, 연립방정식 등) [참고: 선형대수]선수지식(2): 일변수함수의 미분 및 최적화 [참고: 1학년 수강 대학별교양 교과목인 '대학수학및연습' 또는 '공학기초수학및연습']",True,True,True,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6273,2022,강원대학교,공학대학,AI소프트웨어학과,AI와사운드,2,1학기,3,3,0,전공선택,,없음,없음,"1. 『음향기술총론』 강성훈, SOUND MEDIA, 2018 2. 『오디오 기술』 강성훈, SOUND Media, 2018 3. 『미디어 음향』 Stanley Alten, 김윤철 옮김, 커뮤니케이션북스, 2006 4. 『장인석의 음향입문』 장인석, SRMUSIC, 2012 5. 『The Science of Sound』 Rossing, Moore & Wheeler, Addison Wesley, 2002 6. 『디지털 하이파이』 홍진표, e비즈북스, 2021 7. 『인공지능, 말을 걸다』 박현아, 스리체어스, 2020 8. 『보이스 퍼스트 패러다임』 호모 디지쿠스, 아마존의나비, 2017 9. 『음성인식 AI의 미래』 제임스 블라호스 지음, 박진서 옮김, 김영사, 2020 10. 『인공지능 콘텐츠 혁명』 고찬수, 한빛미디어, 2018 11. 『인공지능과 인간의 대화』 김지현, 미래의창, 2020 12. 『다가온 미래』 버나드 마 지음, 이경민 옮김, 다산사이언스, 2020 13. 『음향시스템 핸드북 4』 장호준 지음, BIC 미디어북스, 2016 14. 『IT융합 시대의 멀티미디어 배움터 2.0』 최윤철·임순범, 생능출판, 2016 15. 『PA입문』 코세 타카오, 스도 히로시 공저, SRMUSIC, 2015 16. 어도비 오디션(Adobe Audition) 17. 어도비 프리미어 프로(Adobe Premiere Pro) 18. 기타",,True,True,False,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6279,2022,강원대학교,공학대학,AI소프트웨어학과,운영체제,3,2학기,3,3,0,전공선택,,쉽게 배우는 운영체제/조성호지음/한빛아카데이,그림으로 배우는 원리와 구조/구현회지음/한빛아카데미,Operating System Concepts 10e/ Avraham Silberschatz/John Wiley (번역본: 운영체제 : [10판]/박민규옮김/퍼스트북),,True,True,False,True,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
6281,2022,강원대학교,공학대학,AI소프트웨어학과,방송통신시스템,4,1학기,3,3,0,전공선택,,방송통신기술과 융합서비스 현장실무,SNS등 외부 콘텐츠 시장 기술자료 및 동향 분석자료등 포함,,방송통신기기등 방송통신관련 기본지식을 토대로 수업하여 수업내용에 따라 선수학습내용도 반영하여 수업 진행,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.16666666666666666
7191,2022,강원대학교,단과대구분없음,기타모집단위,기계학습을위한기초통계학,2,1학기,3,3,0,전공선택,,모두의 인공지능 기초수학,혼자공부하는 파이썬,,,False,True,True,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
7192,2022,강원대학교,단과대구분없음,기타모집단위,기계학습을위한확률및통계,3,2학기,3,3,0,전공선택,,Do it! 쉽게 배우는 R 데이터 분석,,,,False,True,True,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
7193,2022,강원대학교,단과대구분없음,기타모집단위,실전기계학습,3,2학기,3,3,0,전공선택,,파이토치 튜토리얼 (https://tutorials.pytorch.kr/),,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
7771,2022,강원대학교,인문사회·디자인스포츠대학,레저스포츠학과,스포츠빅데이터분석과활용,3,2학기,2,1,2,전공선택,,"데이터마이닝 R Edition,비즈니스 애널리틱스를 위한",,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
9144,2022,경북대학교,공과대학,신소재공학부 전자재료공학전공,재료공정실험,3,1학기,2,1,2,공학전공,,,,,,True,False,True,False,True,True,target_department_and_foundational_course,missing_learning_objective;missing_main_textbook,0.4166666666666667
9163,2022,경북대학교,공과대학,신소재공학부 전자재료공학전공,캡스톤디자인,4,1학기,3,1,4,공학전공,,,,,,True,False,True,False,True,True,target_department_and_foundational_course,missing_learning_objective;missing_main_textbook,0.4166666666666667
9788,2022,경북대학교,과학기술대학,소프트웨어학과,프로그래밍언어3,2,1학기,3,3,0,전공,이 과정에서 하나의 언어라도 확실하게 문법 및 실제 활용 기술을 익히는 것이 목표이다. 강의는 주로 C++ 위주로 설명하면서 실제 문제 중심의 프로그램 작성 능력을 습득한다.,,,,,True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.3333333333333333
9791,2022,경북대학교,과학기술대학,소프트웨어학과,JAVA2,2,2학기,3,2,2,전공필수,"창의적 문제 제기 및 해결 능력, 상상력, 실험정신",,,,"C 언어, JAVA1",True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.25
14668,2022,경북대학교,IT대학,전기공학과,확률과정,2,2학기,3,3,0,전공기반,"핵심 역량 중 탐색은 공학적 문제해결능력과 시스템 분석능력의 근본이 되는 능력입니다.본 강의는 확률에 기반한 지식을 전달하고 사고방식을 배양하며, 그 결과,문제 해결이나 시스템 분석에 있어서 또 하나의 시각 및 도구를 제공합니다.",,,,,True,False,True,False,False,True,target_department_and_foundational_course,missing_main_textbook,0.3333333333333333
14680,2022,경북대학교,IT대학,전기공학과,전자회로2,3,1학기,3,3,0,공학전공,,"Microelectronic Circuits, 7th ed., Sedra & Smith, Oxford University Press",,,Electronics1,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
14724,2022,경북대학교,IT대학,전기공학과,공학수학 1,1,2학기,3,3,0,전공기반,"고등학교 과정에서 익힌 수학의 바탕에 공업수학의 기초확립과 응용력을 배양하여 전공 공부 및 과학 학습에 배가되도록 한다. 고교수학 연장선에서 미적분학을 교양과목으로 학습하였다. 그리고 도움을 받아야할것은 대학 물리학 전반에 대한 이해이다. 공학 수학 1의 학습 내용은 미적분학, 대수학, 라플라스 방정식, 그리고 벡터해석이다. 이공계 학생이면 공업수학 전체가 중요하지만 미적분과 대수학은 기본으로 숙지해야 하고 그중에서도 라플라스 방정식, 푸리에 함수(공학수학 2), 그리고 벡터해석(공학수학 2)은 아주 잘 이해해야 할 부분들이다.",,,,"자연의 여러가지 발생되는 현상에 대한 해석이므로 아래 2가지는 숙지하는것이 매우 도움이 될것이다. (1) 대학 물리학(일반물리학, 교양으로 이수하는 물리학) (2) 미적분학(교양과목으로 이수하는 수학).",True,False,True,False,False,True,target_department_and_foundational_course,missing_main_textbook,0.25
14793,2022,경북대학교,IT대학,전자공학부,자료구조,2,2학기,3,3,0,전공,다양한 자료구조의 이론과 구현을 공부하고 이를 기반으로 창의적인 문제 해결 능력 함양,,,,"컴퓨터학개론, C프로그래밍과 실습",True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.25
14794,2022,경북대학교,IT대학,전자공학부,자료구조,2,2학기,3,3,0,전공,The goal of this course is to learn how to solve problems in computer science using various data structures in a creative way.,,,,"Introduction to Computer Science, Practice C Programming Language",True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.25
14809,2022,경북대학교,IT대학,전자공학부,알고리즘1,4,2학기,3,3,0,전공,(1)창의적문제해결능력을함양할수있는내실있는전공교육수행(2)자기주도적학습능력을갖추고미래신기술에능동적으로대응가능한공학인재육성(3)통섭적능력을갖추고미래사회를이끌어나갈수있는글로벌리더육성,,,,COME331 Data Structure,True,True,False,True,False,True,target_department_and_target_course,missing_main_textbook,0.25
