source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,quality_missing_ratio
37685,2022,서울대학교,공과대학,전기·정보공학부,자료구조의 기초,전학년,2학기,3,3,0,전선,"응용 프로그램은 원하는 기능을 달성하기 위한 다양한 알고리즘들로 구성되어 있다. 이러한 각기의 알고리즘을 하나의 건축물이라면 그 건축물을 구성하는 각각의 기능을 가지는 내부 모듈들을 구성하는 것이 자료구조들이라 할 수 있다. 대표적인 자료 구조들은 stack, tree, queue, list 등이 있다. 본 과목에서는 이러한 대표적 자료구조들을 소개하고 이러한 자료구조들을 효율적으로 프로그래밍을 할 때 다룰 수 있는 기법들에 대해 공부하며 이러한 자료구조 이용하는 여러가지 알고리즘들을 공부하고 알고리즘의 효율성을 표현할 수 있는 방법에 대해서도 공부한다. 특히 이 과목에서는 Scheme 이라는 함수형 프로그래밍 언어를 공부하고 여러 가지 자료구조를 복합적으로 사용하여 언어를 수행시키는 interpreter를 구현한다.",강의노트,"Fundamentals of data structures in C++, 2nd Edition",,,True,True,False,False,False,True,target_department_and_target_course,0.16666666666666666
37686,2022,서울대학교,공과대학,전기·정보공학부,자료구조의 기초,전학년,2학기,3,3,0,전선,"데이터 구조는 컴퓨터 프로그램을 구축할 때, 데이터를 구성하고, 관리하고, 읽고, 쓰는 방법을 제공하는 컴퓨팅의 기초로써 활용됨. 이 수업에서는 스택, 큐, 리스트, 트리, 그래프 등을 포함하는 다양한 기본 데이터 구조와 이러한 데이터 구조를 사용하는 기본 알고리즘을 이해하는 것을 목표로 함. 수강생들은 수업을 통해 이해하게 된 데이터 구조 (및 알고리즘)를 C++를 활용하여 구현하도록 요구하는 여러 프로그래밍 과제를 수행할 예정임.",Data Structures and Algorithm Analysis in C++,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37687,2022,서울대학교,공과대학,전기·정보공학부,아날로그전자회로,전학년,2학기,3,3,0,전선,"선수과목(기초전자회로 및 실험)에서 배운 다이오드, BJT, MOSFET, 연산 증폭기 등 회로소자와 소신호 모델, 입출력저항, 증폭률 등의 분석 방법에 대한 이해를 바탕으로, 회로의 주파수 특성, 귀환(feedback) 회로, 발진회로, 출력회로, 필터 등을 다룬다.",Microelectronics,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37688,2022,서울대학교,공과대학,전기·정보공학부,아날로그전자회로,전학년,2학기,3,3,0,전선,"전자회로의 AC 주파수 반응을 이해하고, 피드백회로의 동작원리 및 응용을 이해하기",Fundamentals of Microelectronics 2nd Edition,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37693,2022,서울대학교,공과대학,전기·정보공학부,제어공학개론,전학년,2학기,3,3,0,전선,"본 교과목은 제어 시스템 공학의 이론과 실습을 소개하고, 피드백 시스템의 분석과 설계를 이용한 본 교과목의 실제 적용 예시에 대해 강조한다. 제어 시스템 공학은 전기 공학을 전공으로 하는 학생들에게 필수적인 과목이다. 본 교과목을 수강하는 학생들은 수학, 물리학, 신호 및 시스템과 미분 방정식에 대한 기초 지식이 있어야 한다. 본 교과목은 학생들이 제어 시스템을 분석하고 설계할 수 있도록 하는 것을 핵심 목표로 한다.",Control systems engineering,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37695,2022,서울대학교,공과대학,전기·정보공학부,반도체소자,전학년,2학기,3,3,0,전선,"본 강의는 기본적인 반도체 물리에 기반하여 pn 접합, Schottky 접합, MOSFET 등의 다양한 반도체 소자에 대한 기본적인 내용을 다룬다.",Modern Semiconductor Devices for Integrated Circuits,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37696,2022,서울대학교,공과대학,전기·정보공학부,확률변수 및 확률과정의 기초,전학년,1학기,3,3,0,전선,"본 수업에서는 기초적인 확률이론을 배우고, 확률변수와 확률과정의 개념을 습득하는 것을 목표로 한다.","Probability, Statistics, and Random Processes for Electrical Engineering",,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
37697,2022,서울대학교,공과대학,전기·정보공학부,확률변수 및 확률과정의 기초,전학년,1학기,3,3,0,전선,"기초적인 확률 이론을 바탕으로 전기전자공학(제어, 회로 모델, 통신 시스템 분석 등)에서 널리 활용되는 확률 변수를 익힌다. 또한 확률 과정의 개념을 습득한다.","Probability, Statistics, and Random Processes for Electrical Engineering",,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
37698,2022,서울대학교,공과대학,전기·정보공학부,확률변수 및 확률과정의 기초,전학년,1학기,3,3,0,전선,"This course provides a strong foundation of probability theory for advanced studies in electrical engineering. For example, the concepts we learn through this course are closely related to process control, system reliability, modeling and analysis of communication networks, noise models in circuits, detection and estimation theory, machine learning, etc. Eventually, this course help students1. develop the ability to describe uncertain events in terms of probabilistic model. 2. Develop the skill in probabilistic reasoning",Probability and Stochastic Processes: A Friendly Introduction for Electrical and Computer Engineers,,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
37701,2022,서울대학교,공과대학,전기·정보공학부,통신의 기초,전학년,2학기,3,3,0,전선,본 강좌에서는 통신에 관한 기초이론을 이해하고 통신의 개념 및 여러가지 통신방식들에 대한 개념의 기본을 정립한다.,"Fundamentals of Communication Systems, 2nd ed.(Global Ed)",,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37702,2022,서울대학교,공과대학,전기·정보공학부,통신의 기초,전학년,2학기,3,3,0,전선,"This course is an introductory course on analog and digital communications. The main objective of the course is to teach the students the engineering principles and analytical techniques required to design and understand communication systems. We will first review Fourier transform and then learn analog and digital modulation and demodulation techniques including amplitude, angle, frequency, PAM, QAM, etc. Basic detection theory will be also addressed.",Introduction to Analog and Digital Communications,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
