source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material
31325,2022,부산대학교,공과대학,정보컴퓨터공학부,프로그래밍원리와실습,1,2학기,4,4,0,전공기초,본 강의에서는 Clanguage로 된 프로그램을 이해할 수 있으며 개발할 수 있는 능력을 기르는 것을 목표로 한다.,"B. W. Kernighan and D. M. Ritchie, The C Programming Language, 2nd Ed., PrenticeHall, 1988.",,,
31326,2022,부산대학교,공과대학,정보컴퓨터공학부,프로그래밍원리와실습,1,2학기,4,4,0,전공기초,본 교과목은 C 프로그래밍 언어를 이용하여 학생들이 프로그래밍 기초와 구조적 프로그래밍에 대한 개념과 방법론을 이애할 수 있도록 훈련 시키는 것을 목표로 한다.,없음. 모든 강의 자료는 PLATP(http://plato.pusan.ac.kr)를 통해 제공된다.,,"아래의 도서를 학습에 활용할 것을 권장한다. ""The C Programming Language"", 2nd ed, Brian W. Kernighan, Dennis M. Ritchie, Prentice Hall, 1988. ""Playing with C"", 우균, 창병모","본 교과목에 대한 공식 선수과목은 없다. 단, ""CB16700: 컴퓨터프로그래밍입문""과 같은 교과목 이수를 통해 수강생들이 컴퓨터 프로그래밍에 대한 기초 이해를 가지고 있다는 전제 하에 강의가 진행된다."
31327,2022,부산대학교,공과대학,정보컴퓨터공학부,전기전자공학개론,1,2학기,3,3,0,전공기초,본 교과목을 통하여 전기공학 및 전자공학의 기초지식을 소개한다. 1. 전류와 전압 등 전기의 기본 지식을 배운다. 2. 직류회로 및 교류회로의 해석 방법을 익힌다. 3. 반도체의 기본 지식을 배운다 4. 다이오드와 트랜지스터 회로와 그 응용을 이해한다,"J. David Iriwin and David V. Kerns, Jr., Essentials of Electrical and Computer Engineering, 2nd Edition, Wiely, 2022.",,"Stan Gibillisco and Simon Monk, Teach Yourself Electricity and Electornics, 6th Ed., Mc Graw Hill Education 권기영, 조성재, 유태훈 옮김, 전기전자공학개론, 개정6판, 한빛아카데미 정동호, 공학도를 위한 전기전자공학개론, 학산미디어, 2020",기초 수학
31328,2022,부산대학교,공과대학,정보컴퓨터공학부,전기전자공학개론,1,2학기,3,3,0,전공기초,"이 과목에서 우리는 기본적인 회로 해석 방법 및 관련 이론들을 배운다. 마디전압법, 망전류법, 1계 선형동차 회로, 교류회로, 다이오드와 트란지스터의 동작을 이해하고 해석할 수 있는 능력을 갖추도록 한다.","Christopher K. Alexander and Mattew N. O. Sadiku, Fundamentals of Electric Circuits, 6th Ed., McGrawHill, 2017",,,대학수학
31329,2022,부산대학교,공과대학,정보컴퓨터공학부,전기전자공학개론,1,2학기,3,3,0,전공기초,본 교과목을 통하여 전기공학 및 전자공학의 기초지식을 소개한다. 1. 전류와 전압 등 전기의 기본 지식을 배운다. 2. 직류회로 및 교류회로의 해석 방법을 익힌다. 3. 반도체의 기본 지식을 배운다 4. 다이오드와 트랜지스터 회로와 그 응용을 이해한다,"J. David Iriwin and David V. Kerns, Jr., Essentials of Electrical and Computer Engineering, 2nd Edition, Wiely, 2022.",,"Stan Gibillisco and Simon Monk, Teach Yourself Electricity and Electornics, 6th Ed., Mc Graw Hill Education 권기영, 조성재, 유태훈 옮김, 전기전자공학개론, 개정6판, 한빛아카데미 정동호, 공학도를 위한 전기전자공학개론, 학산미디어, 2020",기초 수학
31330,2022,부산대학교,공과대학,정보컴퓨터공학부,전기전자공학개론,1,2학기,3,3,0,전공기초,"이 과목에서 우리는 기본적인 회로 해석 방법 및 관련 이론들을 배운다. 마디전압법, 망전류법, 1계 선형동차 회로, 교류회로, 다이오드와 트란지스터의 동작을 이해하고 해석할 수 있는 능력을 갖추도록 한다.","Christopher K. Alexander and Mattew N. O. Sadiku, Fundamentals of Electric Circuits, 6th Ed., McGrawHill, 2017",,,대학수학
31331,2022,부산대학교,공과대학,정보컴퓨터공학부,어드벤처디자인,1,2학기,2,0,4,전공기초,IoT 분야에서 널리 사용되는 하드웨어 소개 IoT 하드웨어의 동작원리 이해 IoT 하드웨어의 제어 및 프로그래밍 방법 학습 IoT 하드웨어의 인터페이스에 대한 이해 및 활용방법 학습,"IT CookBook, 따라 하면서 배우는 아두이노, 허경용 지음, 한빛아카데미, 2016 출간",,,기본적인 프로그래밍 경험
31332,2022,부산대학교,공과대학,정보컴퓨터공학부,어드벤처디자인,1,2학기,2,0,4,전공기초,IoT 분야에서 널리 사용되는 하드웨어 소개 IoT 하드웨어의 동작원리 이해 IoT 하드웨어의 제어 및 프로그래밍 방법 학습 IoT 하드웨어의 인터페이스에 대한 이해 및 활용방법 학습,"IT CookBook, 따라 하면서 배우는 아두이노, 허경용 지음, 한빛아카데미, 2016 출간",,,기본적인 프로그래밍 경험
31333,2022,부산대학교,공과대학,정보컴퓨터공학부,어드벤처디자인,1,2학기,2,0,4,전공기초,IoT 분야에서 널리 사용되는 하드웨어 소개 IoT 하드웨어의 동작원리 이해 IoT 하드웨어의 제어 및 프로그래밍 방법 학습 IoT 하드웨어의 인터페이스에 대한 이해 및 활용방법 학습,"IT CookBook, 따라 하면서 배우는 아두이노, 허경용 지음, 한빛아카데미, 2016 출간",,,기본적인 프로그래밍 경험
31334,2022,부산대학교,공과대학,정보컴퓨터공학부,어드벤처디자인,1,2학기,2,0,4,전공기초,IoT 분야에서 널리 사용되는 하드웨어 소개 IoT 하드웨어의 동작원리 이해 IoT 하드웨어의 제어 및 프로그래밍 방법 학습 IoT 하드웨어의 인터페이스에 대한 이해 및 활용방법 학습,"IT CookBook, 따라 하면서 배우는 아두이노, 허경용 지음, 한빛아카데미, 2016 출간",,,기본적인 프로그래밍 경험
