source_type,external_id,main_category,sub_category,title,description,provider_name,instructor_name,difficulty_level,semester,url,thumbnail_url,syllabus_url,content_type,view_count,popular_score
KOCW,3c88d5cffd81d82a,공학,기계공학,미래모빌리티공학,"모빌리티 산업은 4차 산업혁명의 핵심 기술인 인공지능, 5G, 빅데이터, 사물인터넷 등과 융합화를 통해 스마트화가 비약적으로 진전되고 활용 분야도 급속도로 확대되며 모빌리티 4.0으로 진화 중이며, 1인 가구 증가, 노령화, 급속한 도시화, 교통 혼잡, 환경문제, 비효율성 등의 문제 해결 방안으로 공유경제가 확대되며 모빌리티 환경은 빠르게 변화 중이다. 본 강좌에서는 이러한 모빌리티 산업의 급격한 변화와 관련 향후 해당 분야 인력 수요가 크게 증대되므로, 차세대모빌리티 핵심 산업인 자율주행자동차와 드론, 퍼스널모빌리티의 기본 원리 및 기술과 해당 산업 분야의 시장과 기업, 정책, 기술 동향에 대하여 공부한다.
키워드: 모빌리티,전동화,커넥티드,자율주행,패러다임",계명대학교,손태관,intermediate,2024년 1학기,http://www.kocw.net/home/cview.do?cid=3c88d5cffd81d82a&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1526472.jpg,http://www.kocw.net/home/common/contents/syllabus/1526472_2025062314285066.pdf,etc,2714,
KOCW,28e2956e327388bf,공학,정보과학,4차산업혁명과우리의미래,"4차 산업혁명 시대의 주요 기술을 중심으로 쉽게 이해할 수 있도록 쉽게 설명하고 다양한 멀티미디어적인 요소를 활용해 지식 습득한다.
키워드: 소프트웨어기술,인공지능,블록제인,융복합기술,사물인터넷,클라우드컴퓨팅",서원대학교,이병권,intermediate,2024년 1학기,http://www.kocw.net/home/cview.do?cid=28e2956e327388bf&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1526111.jpg,http://www.kocw.net/home/common/contents/syllabus/1526111_2025062093839438.pdf,video,1697,
KOCW,a42e75a539ec521e,공학,소프트웨어공학,Python프로그래밍,"◦파이썬의 기본 문법을 이해하고 활용할 수 있다.
◦데이터 전처리를 위한 정규식 표현을 적용할 수 있다.",신구대학교,추형석,intermediate,2024년 1학기,http://www.kocw.net/home/cview.do?cid=a42e75a539ec521e&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1526081.jpg,http://www.kocw.net/home/common/contents/syllabus/1526081_20250619103150486.pdf,video,1382,
KOCW,26567964a5001f42,공학,컴퓨터과학,인공지능의 이해,"""인공지능의 이해""는 인공지능의 발전에 따른 다양한 변화를 파악하고, 인공지능 기술의 원리와 응용에 대한 이해를 바탕으로, 개인과 사회의 문제를 창의적으로 해결하기 위한 도구로 활용할 수 있으며, 지식 정보 사회가 요구하는 인공지능 소양과 미래 기술에 대한 안목을 갖추고, 인공지능 기술의 윤리적 측면에 대한 올바른 가치관과 태도를 기르는 것을 목적으로 한다.
키워드: 인공지능",국립강릉원주대학교,강태원,advanced,2025년 1학기,http://www.kocw.net/home/cview.do?cid=26567964a5001f42&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1522878.jpg,http://www.kocw.net/home/common/contents/syllabus/1522878_20250415102458211.pdf,video,6798,
KOCW,71c3a3539815af24,공학,건축공학,건축공정관리,"건축 공사관리중 일정을 계획, 관리하는 공정관리에 대한 이론에 대한 설명과  네트워크 공정계 획에 대한 실습을 통하여 전반적인 공정관리에 대한 이해를 증진한다. 이를 위하여 네트워크 공 정표의 작성과 일정계산, 공기단축 등의 과정을 실습을 하게 되며, 외부 전문가의 공정관리 사례 에 대한 특강을 통해 생동감있는 건설현장의 공정관리의 이해의 폭을 넓히게 된다.
키워드: 건축공정관리,네트워크공정표,공기단축의 이해",대림대학교,권오철,intermediate,2024년 1학기,http://www.kocw.net/home/cview.do?cid=71c3a3539815af24&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1522231.jpg,http://www.kocw.net/home/common/contents/syllabus/1522231_2025041195625555.pdf,video,2579,
KOCW,5b4a6d559583a552,공학,전기전자공학,AI 반도체 공정,,건국대학교,박기찬,unknown,2024년 1학기,http://www.kocw.net/home/cview.do?cid=5b4a6d559583a552&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1522011.jpg,http://www.kocw.net/home/common/contents/syllabus/1522011_20250410101349384.pdf,video,4034,
KOCW,ac433913ad5b7b4d,공학,소프트웨어공학,첨단 ICT기술 이해,"4차 산업혁명 시대의 디지털 전환을 이해하고, 다양한산업에서 ICT가 어떻게 활용되는지를 탐구합니다.
키워드: 첨단,ICT",아주대학교,곽진,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=ac433913ad5b7b4d&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521531.jpg,http://www.kocw.net/home/common/contents/syllabus/1521531_20250331101028602.pdf,video,3108,
KOCW,c3da9d9864bfcf9c,공학,정보과학,인공신경망 알고리즘 이해 및 실습,"본 강의에서는 딥러닝에서 사용되는 인공 신경망의 기본 구조, 내부 데이터, 순방향 연산, 역방향 연산, 가중치를 최적화 하기위한 다양한 최적화 알고리즘에 대해서 살펴 본다. 또한, R, C, 텐서플로우를 사용하여 인공 신경망을 구축한 후, 수집된 데이터셋을 학습 시키는 실습을 진행한다. 합성곱 신경망을 직접 구축해보고 이미지 데이터를 학습 시킨후, 학습된 신경망을 사용하여 이미지를 분류하는 실습을 진행한다.
키워드: 인공 신경망,딥러닝,최적화,합성곱 신경망,알고리즘,실습",국립금오공과대학교,장성봉,advanced,2024년 2학기,http://www.kocw.net/home/cview.do?cid=c3da9d9864bfcf9c&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521497.jpg,http://www.kocw.net/home/common/contents/syllabus/1521497_20250328154957983.pdf,video,4749,
KOCW,6bdd67a8d95e389d,공학,컴퓨터공학,딥러닝 생성 모델의 원리와 구현,"본 콘텐츠는 딥러닝 관련 교과목의 학습을 돕기 위한 자기주도형 학습 콘텐츠로 최근 인공지능 기술을 이끌고 있는 딥러닝 생성 모델의 원리를 설명하고 VAE, GAN, Transformer의 세부적인 구현 및 활용 방법에 대해 학습한다.
키워드: 딥러닝,생성 모델,Variational Autoencoder,Generative Adversarial Network,Transformer",국립금오공과대학교,김태형,intermediate,2024년 2학기,http://www.kocw.net/home/cview.do?cid=6bdd67a8d95e389d&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521320.jpg,http://www.kocw.net/home/common/contents/syllabus/1521320_20250328113413698.pdf,video,4562,
KOCW,1ef4460a52a60e13,공학,컴퓨터공학,개발자를 위한 운영체제,"- 컴퓨터 전공자 및 개발자가 알고 있어야 하는 운영체제의 이론을 강의함
- 인공지능을 활용하여 운영체제 강의를 진행함으로써 수강생이 궁금한 부분에 대하여 스스로 인공지능을 사용할 수 있도록 기반을 조성함
- 그림 및 예제 중심의 이론에 대한 설명을 통하여 이해가 쉽도록 설명함'
키워드: 운영체제,인공지능,개발자,컴퓨터 전공자",국립금오공과대학교,이해연,intermediate,2024년 2학기,http://www.kocw.net/home/cview.do?cid=1ef4460a52a60e13&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521246.jpg,http://www.kocw.net/home/common/contents/syllabus/1521246_20250328113333129.pdf,video,3057,
KOCW,c661a471d8d1a316,공학,소프트웨어공학,플러터를 활용한 멀티플랫폼 기반의 앱 개발,"본 강의에서는 플러터 멀티플랫폼 환경에서의 프로그래밍 기법과 다양한 예제를 통해 앱을 작성할 수 있도록 하는 것을 목표로 함
키워드: flutter,dart",국립금오공과대학교,김시관,intermediate,2024년 2학기,http://www.kocw.net/home/cview.do?cid=c661a471d8d1a316&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521187.jpg,http://www.kocw.net/home/common/contents/syllabus/1521187_2025032893425570.pdf,video,26595,
KOCW,2f707a756c0c8e29,공학,컴퓨터공학,자바프로그래밍,"자바 프로그래밍 언어의 기본 문법과 의미를 배우고 이를 통해 소규모 프로그램 개발 능력을 함양
키워드: 자바 소개,변수,수식,조건문,반복문,배열,문자열,클래스,상속,예외처리,파일",국립금오공과대학교,김병만,unknown,2024년 2학기,http://www.kocw.net/home/cview.do?cid=2f707a756c0c8e29&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521149.jpg,http://www.kocw.net/home/common/contents/syllabus/1521149_2025032893410311.pdf,video,2227,
KOCW,80e706fcdd20870b,공학,컴퓨터공학,Orange3으로 배우는 기계학습,"기계학습의 기본 이론을 학습하고 Orange3를 사용하여 이론에 대한 실습을 적절히 병행하여 학습 이론에 대한 이해도 증가
키워드: 기계학습,회귀분석,분류,인공지능,오렌지3",국립금오공과대학교,김성영,intermediate,2024년 2학기,http://www.kocw.net/home/cview.do?cid=80e706fcdd20870b&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521131.jpg,http://www.kocw.net/home/common/contents/syllabus/1521131_2025032893358140.pdf,video,2437,
KOCW,1e797f4b8f771ccd,공학,소프트웨어공학,프로그래밍기초,"전자공학부 1학년 학생이 학습하여야 되는 프로그램의 기초 용어, 기본 개념, 동작 원리에 대한 충분한 이해와 응용력을 높일 수 있도록 동영상을 개발하였으며, 이를 통하여 학생들의 기초 및 응용 역량을 높인다.
키워드: C-언어,포인터,구조체,파이썬,클래스,라이브러리",국립금오공과대학교,송영준,beginner,2024년 2학기,http://www.kocw.net/home/cview.do?cid=1e797f4b8f771ccd&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1521025.jpg,http://www.kocw.net/home/common/contents/syllabus/1521025_20250327164130417.pdf,video,2631,
KOCW,378ba15b6d5def16,공학,소프트웨어공학,컴퓨팅적 사고와 문제해결,"파이썬 프로그래밍 언어를 활용하여 문제를 해결하는 컴퓨팅 사고력을 향상시키는 수업임
키워드: 파이썬,프로그래밍,컴퓨터",대진대학교,김선경,intermediate,2024년 2학기,http://www.kocw.net/home/cview.do?cid=378ba15b6d5def16&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1515497.jpg,http://www.kocw.net/home/common/contents/syllabus/1515497_20250319154120603.pdf,video,1713,
KOCW,9b302bd29db2ee43,공학,컴퓨터과학,생성적 AI 마스터링: 개념에서 응용 프로그램까지,"이 과정은 학습자에게 생성적 인공지능에 대한 심층적인 이해를 제공하기 위해 설계된 몰입형 과정으로, 기초 이론에서 실제 구현에 이르기까지 다양합니다. 이 과정은 창의적인 콘텐츠를 생성하고, 복잡한 문제를 해결하고, 다양한 산업에서 혁신을 추진하는 데 AI의 힘을 활용하고자 하는 전문가, 학생 및 애호가에게 이상적입니다.
키워드: 인공지능,AI,생성 AI,Gen AI,윤리적 AI",우송대학교,Hasan Tinmaz,beginner,2024년 1학기,http://www.kocw.net/home/cview.do?cid=9b302bd29db2ee43&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1515131.jpg,http://www.kocw.net/home/common/contents/syllabus/1515131_20250313163754406.pdf,video,2887,
KOCW,5283a4a91cb8f649,공학,컴퓨터공학,홈페이지입문,"본 교과목은 학생들이 소프트웨어중심사회에서 개개인의 특성에 맞는 홈페이지를 제작하고, 웹응용기술을 습득할 수 있도록 하기 위해 입문단계에서 다룰 수 있는 HTML, CSS의 기본 지식을 교육하고, 이를 활용하여 개인을 브랜드화할 수 있도록 다양한 응용 페이지 제작을 통해 프론트엔드에 대한 기술적 지식을 함양하는 것이 목적이다.
키워드: 홈페이지,HTML,CSS,웹(Web)",호서대학교,안용학,beginner,2024년 2학기,http://www.kocw.net/home/cview.do?cid=5283a4a91cb8f649&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1512211.jpg,http://www.kocw.net/home/common/contents/syllabus/1512211_2025012415344897.pdf,video,3678,
KOCW,dacb7be8e0293524,공학,컴퓨터과학,소프트웨어중심세상,"피지컬컴퓨팅이 아닌 틴커캐드 애뮬레이터를 통한 피지컬 세상 재현하기. 다양한 소프트웨어 제어기법을 학습하여 피지컬 세상을 제어하면서 디지털 리터러시 역량과 기술적 문제해결능력을 키우는 내용으로 구성
키워드: 피지컬컴퓨팅,아두이노,틴커캐드,IoT",호서대학교,문정경,unknown,2024년 2학기,http://www.kocw.net/home/cview.do?cid=dacb7be8e0293524&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1512136.jpg,http://www.kocw.net/home/common/contents/syllabus/1512136_2025012413912515.pdf,video,2445,
KOCW,e3cc0b689dcf3dcb,공학,소프트웨어공학,멀티모달 학습 개론,"본 강의는 멀티모달 학습을 위한 인공지능 방법론에 대한 전반적인 교육을 진행한다.
키워드: 멀티모달,비전-언어 트랜스포머,정보 융합",중앙대학교,김준영,beginner,2024년 2학기,http://www.kocw.net/home/cview.do?cid=e3cc0b689dcf3dcb&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1505888.jpg,http://www.kocw.net/home/common/contents/syllabus/1505888_202501131691279.pdf,video,4212,5.0
KOCW,42031d38fd0b7141,공학,소프트웨어공학,멀티코어 컴퓨팅,"본 강의는 멀티코어 컴퓨팅을 하기 위한 세 가지 방법론으로 자바 쓰레드 프로그래밍, 오픈엠피 프로그래밍, 쿠다 프로그래밍에 대하여 교육한다.
키워드: 멀티코어 컴퓨팅,자바,오픈엠피,쿠다",중앙대학교,김준영,unknown,2024년 2학기,http://www.kocw.net/home/cview.do?cid=42031d38fd0b7141&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1505873.jpg,http://www.kocw.net/home/common/contents/syllabus/1505873_2025011316835888.pdf,video,4093,
