source_dataset,source_lookup_key,source_title,candidate_name,suggested_parent_slug,topic_slug,topic_name,relevance_score,exclusion_reason
course,15338,시스템프로그래밍,입출력,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,15339,시스템프로그래밍,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15339,시스템프로그래밍,,,linux,Linux,0.83,existing_topic_not_auto_link_candidate
course,15339,시스템프로그래밍,입출력,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,15339,시스템프로그래밍,,,system-programming-basics,시스템 프로그래밍 기초,0.75,existing_topic_not_auto_link_candidate
course,15342,시스템프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15342,시스템프로그래밍,,,linux,Linux,0.50,existing_topic_not_auto_link_candidate
course,15346,공학수학 1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15357,자료구조프로그래밍,,,data-structures,자료구조,1.00,course_prerequisite_relation_excluded
course,15357,자료구조프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15358,선형대수,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15362,수치해석,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15368,알고리즘,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15368,알고리즘,,,data-structures,자료구조,0.68,course_prerequisite_relation_excluded
course,15368,알고리즘,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15372,모바일앱프로그래밍,,,programming,프로그래밍,0.98,existing_topic_not_auto_link_candidate
course,15372,모바일앱프로그래밍,,,database,데이터베이스,0.80,existing_topic_not_auto_link_candidate
course,15374,설계프로젝트 1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15374,설계프로젝트 1,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15377,머신러닝 응용,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,15379,머신러닝,,,artificial-intelligence,인공지능,0.50,existing_topic_not_auto_link_candidate
course,15379,머신러닝,,,deep-learning,딥러닝,0.50,existing_topic_not_auto_link_candidate
course,15380,딥러닝,,,python,Python,0.83,existing_topic_not_auto_link_candidate
course,15380,딥러닝,,,pandas,Pandas,0.80,existing_topic_not_auto_link_candidate
course,15380,딥러닝,,,artificial-intelligence,인공지능,0.50,existing_topic_not_auto_link_candidate
course,15380,딥러닝,,,github,GitHub,0.50,existing_topic_not_auto_link_candidate
course,15380,딥러닝,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15383,응용프로그래밍1,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15413,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15414,자료구조,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,15414,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15415,자료구조,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15417,정보보호론,,,networks,네트워크,0.68,course_prerequisite_relation_excluded
course,15417,정보보호론,,,operating-systems,운영체제,0.68,course_prerequisite_relation_excluded
course,15417,정보보호론,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15418,프로그래밍기초,,,programming,프로그래밍,0.98,existing_topic_not_auto_link_candidate
course,15418,프로그래밍기초,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,15418,프로그래밍기초,,,programming-basic-syntax,프로그래밍 기초 문법,0.50,existing_topic_not_auto_link_candidate
course,15419,프로그래밍기초,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15420,프로그래밍기초,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15420,프로그래밍기초,,,c-language,C언어,0.80,existing_topic_not_auto_link_candidate
course,15421,프로그래밍기초,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15421,프로그래밍기초,,,c-language,C언어,0.75,existing_topic_not_auto_link_candidate
