curriculum_course_lookup_key,course_name,topic_lookup_key,topic_name,topic_depth,parent_topic_slug,relevance_score,extraction_method,is_primary,matched_fields,match_types,link_type
37956,자료구조,stack,스택,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37956,자료구조,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
40105,공간정보분석 2: 머신러닝,machine-learning,머신러닝,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
4190,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
4191,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
4195,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.98,keyword,true,course_name_clean|main_textbook_clean,alias|topic_name,existing_topic
4196,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
4199,인공지능,neural-network,신경망,3,deep-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
4351,사이버보안관제,protocol,프로토콜,3,networks,0.83,keyword,true,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
43900,데이터마이닝 방법 및 실습,classification,분류,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
43900,데이터마이닝 방법 및 실습,regression,회귀,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
44674,(공유)AI입문,classification,분류,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
44675,(공유)AI입문,classification,분류,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
44675,(공유)AI입문,regression,회귀,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45896,신재생에너지실험,hash,해시,3,data-structures,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
45950,선형대수학,linear-algebra,선형대수,,,1.00,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
45950,선형대수학,matrix,행렬,3,linear-algebra,0.83,keyword,false,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
45950,선형대수학,vector,벡터,3,linear-algebra,0.83,keyword,false,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
45951,선형대수학,linear-algebra,선형대수,,,1.00,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
45951,선형대수학,matrix,행렬,3,linear-algebra,0.83,keyword,false,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
45951,선형대수학,vector,벡터,3,linear-algebra,0.83,keyword,false,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
45954,수치해석,numerical-analysis,수치해석,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
45954,수치해석,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45954,수치해석,regression,회귀,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45955,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
45956,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
45958,운영체제,operating-systems,운영체제,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
45961,자료구조,data-structures,자료구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
45961,자료구조,array,배열,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45961,자료구조,list,리스트,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45961,자료구조,queue,큐,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45961,자료구조,stack,스택,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45961,자료구조,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45962,자료구조,data-structures,자료구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
45962,자료구조,array,배열,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45962,자료구조,list,리스트,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45962,자료구조,queue,큐,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45962,자료구조,stack,스택,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45962,자료구조,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45965,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
45966,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
45967,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
