source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,is_target_department,is_target_course
31608,공학선형대수학,1,2학기,3.0,전공기초,"미적분학을 이수한 이공계열 학생을 대상으로 선형대수학의 기초적인 내용에 관한 정의와 성질들을 소개하고, 공학적인 응용에 관련된 예제와 문제를 다루어 학생들이 각 전공분야에서 필요하게 될 선형대수의 기본개념과 기초지식을 습득하여 선형대수학적인 여러 가지 문제들을 해결할 수 있는 능력을 갖도록 지도한다.","교재 :  공학선형대수학(개정판),  저자 : 수학교재편찬위원회,  발간연도 : 2021년, 출판사 : 교문사",,"[1] Linear Algebra with Applications George Nakos and David Joyner 저Brooks/Cole 출판사 [2] Linear Algebra Schaum's Outline Series, Seymour Lipschutz 저, McGrawHill 출판사",미적분학,False,True
31624,공정제어(I),3,2학기,3.0,전공필수,Understanding of basic principles for chemical plant control. Understanding of chemical process modeling and analysis of system dynamics. Design of feedback control systems using PID controllers for chemical plants.,Process Dynamics and Control 4th edition. Dale E. Seborg. Wiley,,Process Systems Analysis and Control 3rd edition. Donald. R. coughanowr. McGrawhill,"공학선형대수학, 화공미분방정식",False,True
31626,공정제어(II),4,1학기,3.0,전공선택,"본 강좌는 화학공학을 전공하는 학생들이 화학공장의 공정제어에 관한 기본적인 이론 및 PIDcontrol에 대한 이해를 바탕으로 하여, 고전적인 제어수법 뿐만아니라 최근의 컴퓨터를 사용한 현대 제어 기법에 관하여 학습하는데 그 목적이 있다.","Donald.R.coughanowr, Process systems analysis and control,McGrawhill(2009)",,"1.  George stephanopoulos, Chemical process control, PrenticeHall(1984)   2   D.E.Seborg, ""Process Dynamics and Control."", 2nd Ed. John Wiley(2004)   3 Willian L.Luyben, Process modeling Simulation and Control for chemical  engineers, McGrawhill(1990)   4  F.G.Shinsky, Process Control Systems, McGrawhill(1988)   5  Carlos A.Smith, Automatic process control ,Jhon wiley & sons(1985)   6  Thomas Miller,""neural networks for control"",MITpress(1990)",공정제어 (I),False,True
31654,공학선형대수학,1,2학기,3.0,전공기초,"미적분학을 이수한 이공계열 학생을 대상으로 선형대수학의 기초적인 내용에 관한 정의와 성질들을 소개하고, 공학적인 응용에 관련된 예제와 문제를 다루어 학생들이 각 전공분야에서 필요하게 될 선형대수의 기본개념과 기초지식을 습득하여 선형대수학적인 여러 가지 문제들을 해결할 수 있는 능력을 갖도록 지도한다.","교재 : 공학선형대수학, 저자 : 허찬 외 9명, 발간연도 : 2021년, 출판사 : 교문사",,"[1] Linear Algebra with Applications George Nakos and David Joyner 저Brooks/Cole 출판사 [2] Linear Algebra Schaum's Outline Series, Seymour Lipschutz 저, McGrawHill 출판사",미적분학,False,True
31663,공학통계학,1,1학기,3.0,전공기초,통계의 원리를 이해하고 환경정보 해석을 위한 수학적 능력을 강화한다. 학습자의 능력은 시험을 통해 평가된다.,,,,없음,False,True
31678,미세먼지제어공학,3,1학기,3.0,전공필수,대기오염저감장치 중 미세먼지 제어장치의 원리를 이해하고 설계한다.,"C. D. Cooper, F. C. Alley 저/ 김동술 역/ 대기오염제어 설계공학/ 동화기술/ 2012",,"대기오염개론; 일반물리학; 미적분학; Aerosol Technology, Hinds, Wiley","대기오염개론, 일반물리학, 미적분학",False,True
31684,환경데이터프로그래밍,2,2학기,3.0,전공선택,"환경 빅데이터 프로그래밍은 환경분야에서 활용되는 Open Source 빅데이터를 활용해 환경 변수를 산정, 예측, 분류하는 딥러닝 프로젝트를 설계하는 과목이다.","핸즈온 머신러닝 2판, 오렐리앙 제롱",,,없음,False,True
31689,환경창의프로젝트,4,1학기,2.0,전공필수,"환경공학 관련 이론과 실험 및 실습을 토대로 창의적이고 주도적인 연구를 수행할 수 있도록하고, 종합 설계능력을 배양 하도록 지도하는 것이 목적이다. 학생들은 교육과정에서 배운 내용을 바탕으로 졸업논문을 기획, 설계하고 지도교수의 지도하에 최종 졸업논문을 작성한다.",,,,,False,True
31694,공학확률과통계,2,2학기,3.0,전공기초,"통계학의 기초개념을 이론과 응용을 중심으로 학습하여, 향후 학생 전공의 연구를 진행함에 있어 연구주제에 맞는 통계학 적 방법론 선정부터 통계분석 결과 해석 및 함의 도출까지에 도움이 되도록 한다.","이재원, 이욱기, 공학인증을 위한 확률과 통계(제4판), 북스힐, 2019.",,"김진경 외 5인 공저, 통계학: 파이썬을 이용한 분석, 자유아카데미, 2018. 김동희 외 8인 공저, R을 활용한 통계학(이론과 응용), 자유아카데미, 2015.",,False,True
31697,컴퓨터프로그래밍,1,2학기,3.0,전공기초,"This class aims to cultivate students' programming ability and learn problemsolving ability with computer. In this lecture, students will learn basic program command and the method of making simple algorithm.",,,"유태훈 옮김, 문제해결 중심의 공학도를 위한 매트랩",,False,True
31698,컴퓨터프로그래밍,1,2학기,3.0,전공기초,"This class aims to cultivate students' programming ability and learn problemsolving ability with computer. In this lecture, students will learn basic program command and the method of making simple algorithm.",,,"유태훈 옮김, 문제해결 중심의 공학도를 위한 매트랩",,False,True
